Game,Draw Date,Winning Combination,Jackpot (PHP),Winners
Lotto 6/42,2026-06-09,40-03-36-41-28-18,"20,676,273.22",0
6D Lotto,2026-06-09,6-3-7-5-4-1,"1,072,500.24",0
Mega Lotto 6/45,2026-06-08,20-27-43-15-04-14,"47,913,154.68",0
Grand Lotto 6/55,2026-06-08,50-43-24-01-07-15,"45,000,000.00",0
4D Lotto,2026-06-08,5-0-3-5,"63,181.00",14
Ultra Lotto 6/58,2026-06-07,53-01-04-45-51-22,"75,000,000.00",0
Super Lotto 6/49,2026-06-07,41-31-44-25-42-33,"25,000,000.00",0
Lotto 6/42,2026-06-06,33-38-34-28-36-07,"17,763,940.65",0
Grand Lotto 6/55,2026-06-06,32-36-29-19-08-30,"45,000,000.00",0
6D Lotto,2026-06-06,9-8-1-3-9-2,"485,321.72",0
Ultra Lotto 6/58,2026-06-05,20-45-13-31-07-27,"75,000,000.00",0
Mega Lotto 6/45,2026-06-05,01-38-18-42-04-44,"43,744,766.73",0
4D Lotto,2026-06-05,2-7-9-5,"22,581.00",44
Super Lotto 6/49,2026-06-04,27-03-02-11-16-25,"25,000,000.00",0
Lotto 6/42,2026-06-04,02-39-30-10-14-29,"14,404,418.27",0
6D Lotto,2026-06-04,3-4-2-6-8-5,"193,325.00",3
Mega Lotto 6/45,2026-06-03,23-45-06-18-04-02,"39,948,344.77",0
Grand Lotto 6/55,2026-06-03,19-42-53-02-46-03,"45,000,000.00",0
4D Lotto,2026-06-03,3-4-0-9,"54,156.00",15
Ultra Lotto 6/58,2026-06-02,39-36-12-41-04-20,"75,000,000.00",0
Super Lotto 6/49,2026-06-02,36-27-05-14-40-08,"25,000,000.00",0
Lotto 6/42,2026-06-02,18-16-37-13-35-23,"11,344,599.30",0
6D Lotto,2026-06-02,2-9-1-0-0-7,"524,923.00",3
Mega Lotto 6/45,2026-06-01,28-38-41-35-40-05,"36,124,029.88",0
Grand Lotto 6/55,2026-06-01,36-04-09-44-42-24,"45,000,000.00",0
4D Lotto,2026-06-01,2-0-4-6,"31,319.00",27
Ultra Lotto 6/58,2026-05-31,09-53-43-39-03-47,"75,000,000.00",0
Super Lotto 6/49,2026-05-31,18-21-07-43-11-03,"25,000,000.00",0
Lotto 6/42,2026-05-30,03-21-02-14-33-01,"10,000,000.00",0
Grand Lotto 6/55,2026-05-30,19-37-21-39-09-22,"45,000,000.00",0
6D Lotto,2026-05-30,5-5-4-2-9-7,"1,483,441.08",0
Ultra Lotto 6/58,2026-05-29,47-21-43-20-05-37,"75,000,000.00",0
Mega Lotto 6/45,2026-05-29,27-45-38-35-25-10,"32,333,006.68",0
4D Lotto,2026-05-29,6-1-2-2,"15,406.00",30
Super Lotto 6/49,2026-05-28,39-40-01-47-29-17,"25,000,000.00",0
Lotto 6/42,2026-05-28,39-38-34-21-10-03,"10,000,000.00",0
6D Lotto,2026-05-28,9-0-2-9-1-6,"701,831.20",0
Mega Lotto 6/45,2026-05-27,23-08-09-36-43-18,"28,760,977.68",0
Grand Lotto 6/55,2026-05-27,33-46-43-19-38-42,"45,000,000.00",0
4D Lotto,2026-05-27,4-8-6-0,"41,124.00",19
Ultra Lotto 6/58,2026-05-26,02-11-12-16-55-46,"75,000,000.00",0
Super Lotto 6/49,2026-05-26,10-49-30-21-48-45,"25,000,000.00",0
Lotto 6/42,2026-05-26,15-08-34-13-25-38,"10,000,000.00",0
6D Lotto,2026-05-26,3-8-4-9-9-9,"556,649.48",0
Mega Lotto 6/45,2026-05-25,21-13-43-28-05-17,"25,359,201.44",0
Grand Lotto 6/55,2026-05-25,48-42-23-18-55-33,"45,000,000.00",0
4D Lotto,2026-05-25,1-9-5-7,"10,000.00",158
Ultra Lotto 6/58,2026-05-24,50-12-20-57-14-21,"75,000,000.00",0
Super Lotto 6/49,2026-05-24,33-24-12-13-04-09,"25,000,000.00",1
Lotto 6/42,2026-05-23,12-18-03-17-05-08,"24,158,156.53",1
Grand Lotto 6/55,2026-05-23,52-36-38-12-48-42,"45,000,000.00",0
6D Lotto,2026-05-23,1-9-3-3-1-5,"1,640,315.00",1
Ultra Lotto 6/58,2026-05-22,45-20-16-33-40-28,"75,000,000.00",0
Mega Lotto 6/45,2026-05-22,27-09-42-37-34-03,"21,822,707.74",0
4D Lotto,2026-05-22,1-7-0-0,"35,632.00",23
Super Lotto 6/49,2026-05-21,09-28-21-02-37-23,"25,000,000.00",0
Lotto 6/42,2026-05-21,33-08-05-17-18-41,"20,654,909.15",0
6D Lotto,2026-05-21,1-7-3-5-8-7,"1,590,315.28",0
Mega Lotto 6/45,2026-05-20,16-45-11-32-23-37,"18,546,872.34",0
Grand Lotto 6/55,2026-05-20,41-08-45-27-09-10,"115,358,791.87",1
4D Lotto,2026-05-20,7-3-0-8,"42,144.00",18
Ultra Lotto 6/58,2026-05-19,06-38-09-26-48-14,"75,000,000.00",0
Super Lotto 6/49,2026-05-19,49-35-44-04-14-05,"25,000,000.00",0
Lotto 6/42,2026-05-19,15-06-31-16-22-25,"17,376,838.36",0
6D Lotto,2026-05-19,5-2-4-5-5-1,"1,010,029.88",0
Mega Lotto 6/45,2026-05-18,39-24-07-04-37-23,"15,451,056.13",0
Grand Lotto 6/55,2026-05-18,47-44-26-29-38-51,"110,063,860.04",0
4D Lotto,2026-05-18,1-1-1-2,"10,000.00",195
Ultra Lotto 6/58,2026-05-17,39-37-35-45-16-52,"75,000,000.00",0
Super Lotto 6/49,2026-05-17,27-14-46-18-11-17,"25,000,000.00",0
Lotto 6/42,2026-05-16,07-28-26-32-25-12,"14,559,320.23",0
Grand Lotto 6/55,2026-05-16,09-06-19-46-39-48,"104,852,560.66",0
6D Lotto,2026-05-16,8-4-8-1-4-3,"583,460.20",0
Ultra Lotto 6/58,2026-05-15,02-01-38-15-14-47,"75,000,000.00",0
Mega Lotto 6/45,2026-05-15,12-27-42-33-15-01,"15,000,000.00",0
4D Lotto,2026-05-15,9-1-9-3,"77,387.00",13
Super Lotto 6/49,2026-05-14,04-25-24-12-19-43,"25,000,000.00",0
Lotto 6/42,2026-05-14,23-40-20-06-34-33,"11,439,487.99",0
6D Lotto,2026-05-14,4-3-4-7-2-0,"8,676,734.00",1
Mega Lotto 6/45,2026-05-13,31-33-45-29-16-23,"15,000,000.00",0
Grand Lotto 6/55,2026-05-13,39-29-45-02-38-43,"99,516,506.24",0
4D Lotto,2026-05-13,0-9-9-4,"80,324.00",11
Ultra Lotto 6/58,2026-05-12,56-16-28-36-50-25,"75,000,000.00",0
Super Lotto 6/49,2026-05-12,24-15-06-44-40-23,"25,000,000.00",0
Lotto 6/42,2026-05-12,41-38-12-14-37-25,"10,000,000.00",0
6D Lotto,2026-05-12,0-6-4-0-3-7,"7,984,167.24",0
Mega Lotto 6/45,2026-05-11,19-21-39-41-38-44,"15,000,000.00",0
Grand Lotto 6/55,2026-05-11,40-52-32-46-20-07,"95,026,257.54",0
4D Lotto,2026-05-11,6-5-1-6,"27,285.00",18
Ultra Lotto 6/58,2026-05-10,54-45-08-21-52-31,"75,000,000.00",0
Super Lotto 6/49,2026-05-10,03-16-11-04-14-38,"25,000,000.00",1
Lotto 6/42,2026-05-09,27-06-42-13-12-04,"10,000,000.00",0
Grand Lotto 6/55,2026-05-09,42-48-19-43-05-02,"90,484,406.48",0
6D Lotto,2026-05-09,3-1-7-3-2-8,"7,126,947.00",0
Ultra Lotto 6/58,2026-05-08,35-20-54-51-08-02,"75,000,000.00",0
Mega Lotto 6/45,2026-05-08,04-32-23-12-22-09,"15,000,000.00",0
4D Lotto,2026-05-08,6-3-8-9,"26,475.00",31
Super Lotto 6/49,2026-05-07,47-11-24-33-48-02,"25,000,000.00",0
Lotto 6/42,2026-05-07,28-20-36-29-11-27,"10,000,000.00",0
6D Lotto,2026-05-07,4-0-6-8-8-7,"6,600,139.48",0
Mega Lotto 6/45,2026-05-06,01-03-24-18-11-10,"15,000,000.00",1
Grand Lotto 6/55,2026-05-06,05-40-27-24-55-22,"85,767,922.62",0
4D Lotto,2026-05-06,0-9-2-6,"10,000.00",58
Ultra Lotto 6/58,2026-05-05,01-58-25-43-26-16,"76,305,973.15",10
Super Lotto 6/49,2026-05-05,44-03-08-31-06-49,"40,607,323.57",1
Lotto 6/42,2026-05-05,31-28-19-03-02-04,"10,000,000.00",1
6D Lotto,2026-05-05,6-2-0-4-9-1,"5,724,644.88",0
Mega Lotto 6/45,2026-05-04,34-28-21-41-08-05,"15,000,000.00",0
Grand Lotto 6/55,2026-05-04,33-13-47-46-17-25,"81,488,086.77",0
4D Lotto,2026-05-04,9-0-0-3,"148,069.00",5
Ultra Lotto 6/58,2026-05-03,32-53-51-15-36-17,"75,000,000.00",0
Super Lotto 6/49,2026-05-03,37-35-44-47-43-14,"37,460,171.70",0
Lotto 6/42,2026-05-02,22-34-42-19-03-25,"35,467,492.71",1
Grand Lotto 6/55,2026-05-02,48-33-17-02-37-10,"77,324,854.25",0
6D Lotto,2026-05-02,0-1-6-9-4-9,"4,889,011.32",0
Ultra Lotto 6/58,2026-05-01,53-37-16-45-05-29,"75,000,000.00",0
Mega Lotto 6/45,2026-05-01,19-08-23-41-04-11,"15,000,000.00",0
4D Lotto,2026-05-01,7-2-6-9,"23,244.00",34
Super Lotto 6/49,2026-04-30,40-41-24-23-46-42,"33,781,767.72",0
Lotto 6/42,2026-04-30,07-24-41-42-29-40,"31,621,223.97",0
6D Lotto,2026-04-30,0-0-3-7-6-0,"4,369,460.40",0
Mega Lotto 6/45,2026-04-29,27-35-23-22-43-33,"15,000,000.00",0
Grand Lotto 6/55,2026-04-29,42-02-54-35-41-49,"73,371,278.43",0
4D Lotto,2026-04-29,5-4-8-8,"45,192.00",18
Ultra Lotto 6/58,2026-04-28,09-47-32-39-45-33,"75,000,000.00",0
Super Lotto 6/49,2026-04-28,27-09-34-05-16-42,"30,227,489.87",0
Lotto 6/42,2026-04-28,15-09-12-16-37-35,"27,872,450.50",0
6D Lotto,2026-04-28,8-1-5-2-1-5,"3,596,241.68",0
Mega Lotto 6/45,2026-04-27,06-04-05-27-34-11,"45,568,562.29",2
Grand Lotto 6/55,2026-04-27,43-19-20-12-21-51,"69,508,293.74",0
4D Lotto,2026-04-27,4-6-4-7,"25,410.00",34
Ultra Lotto 6/58,2026-04-26,48-56-29-39-55-45,"75,000,000.00",0
Super Lotto 6/49,2026-04-26,44-48-09-33-01-34,"27,509,805.53",0
Lotto 6/42,2026-04-25,26-32-19-01-22-17,"24,655,209.60",0
Grand Lotto 6/55,2026-04-25,41-43-35-15-10-40,"66,008,898.49",0
6D Lotto,2026-04-25,9-4-0-8-5-7,"3,383,904.64",0
Ultra Lotto 6/58,2026-04-24,37-42-36-21-47-27,"75,000,000.00",0
Mega Lotto 6/45,2026-04-24,41-15-38-11-33-43,"41,679,165.33",0
4D Lotto,2026-04-24,4-2-6-7,"25,247.00",28
Super Lotto 6/49,2026-04-23,11-35-40-01-18-08,"25,000,000.00",0
Lotto 6/42,2026-04-23,09-23-41-37-24-10,"21,185,563.23",0
6D Lotto,2026-04-23,3-9-0-3-6-5,"2,544,480.80",0
Mega Lotto 6/45,2026-04-22,10-37-11-43-18-15,"37,882,594.88",0
Grand Lotto 6/55,2026-04-22,30-43-51-44-46-32,"62,292,600.08",0
4D Lotto,2026-04-22,3-7-9-1,"155,894.00",6
Ultra Lotto 6/58,2026-04-21,58-34-43-05-40-03,"75,000,000.00",0
Super Lotto 6/49,2026-04-21,45-10-36-43-13-19,"25,000,000.00",0
Lotto 6/42,2026-04-21,22-04-33-11-09-15,"17,860,503.83",0
6D Lotto,2026-04-21,1-5-9-8-0-2,"1,864,623.16",0
Mega Lotto 6/45,2026-04-20,34-12-29-08-27-17,"34,154,880.29",0
Grand Lotto 6/55,2026-04-20,33-36-17-40-22-45,"58,762,800.20",0
4D Lotto,2026-04-20,5-8-7-4,"37,139.00",24
Ultra Lotto 6/58,2026-04-19,40-50-13-33-15-58,"75,000,000.00",0
Super Lotto 6/49,2026-04-19,16-43-21-35-14-37,"25,000,000.00",0
Lotto 6/42,2026-04-18,21-35-29-05-36-37,"14,893,152.56",0
Grand Lotto 6/55,2026-04-18,04-25-09-54-15-31,"55,224,665.03",0
6D Lotto,2026-04-18,5-0-3-2-4-2,"1,283,325.68",0
Ultra Lotto 6/58,2026-04-17,24-28-20-52-26-36,"75,000,000.00",0
Mega Lotto 6/45,2026-04-17,41-12-32-08-30-24,"30,311,222.26",0
4D Lotto,2026-04-17,8-9-3-3,"70,620.00",13
Super Lotto 6/49,2026-04-16,27-35-24-31-09-34,"25,000,000.00",0
Lotto 6/42,2026-04-16,42-41-17-27-06-07,"11,897,182.50",0
6D Lotto,2026-04-16,6-7-0-5-3-4,"679,368.32",0
Mega Lotto 6/45,2026-04-15,27-21-26-37-39-43,"26,616,490.02",0
Grand Lotto 6/55,2026-04-15,32-43-20-46-09-15,"51,762,661.04",0
4D Lotto,2026-04-15,7-5-7-8,"34,320.00",25
Ultra Lotto 6/58,2026-04-14,30-19-20-58-09-22,"75,000,000.00",0
Super Lotto 6/49,2026-04-14,23-47-11-35-38-20,"25,000,000.00",0
Lotto 6/42,2026-04-14,15-09-17-12-10-07,"10,000,000.00",0
6D Lotto,2026-04-14,3-8-0-0-1-2,"276,942.40",0
Mega Lotto 6/45,2026-04-13,39-19-26-17-02-44,"23,059,737.57",0
Grand Lotto 6/55,2026-04-13,51-54-39-50-24-40,"48,290,931.86",0
4D Lotto,2026-04-13,6-6-0-7,"88,131.00",10
Ultra Lotto 6/58,2026-04-12,02-21-42-34-31-08,"75,000,000.00",0
Super Lotto 6/49,2026-04-12,49-29-07-26-43-48,"25,000,000.00",0
Lotto 6/42,2026-04-11,20-17-39-35-10-34,"10,000,000.00",0
Grand Lotto 6/55,2026-04-11,52-10-50-53-26-28,"45,000,000.00",0
6D Lotto,2026-04-11,0-4-0-6-1-4,"436,391.00",1
Ultra Lotto 6/58,2026-04-10,50-06-14-24-57-38,"75,000,000.00",0
Mega Lotto 6/45,2026-04-10,16-19-09-07-05-44,"19,548,917.90",0
4D Lotto,2026-04-10,1-6-9-0,"65,050.00",15
Super Lotto 6/49,2026-04-09,10-27-28-02-14-06,"25,000,000.00",0
Lotto 6/42,2026-04-09,41-38-03-05-11-06,"10,000,000.00",0
6D Lotto,2026-04-09,2-4-1-4-2-9,"386,391.96",0
Mega Lotto 6/45,2026-04-08,22-25-37-15-05-28,"16,222,728.43",0
Grand Lotto 6/55,2026-04-08,23-24-09-40-13-17,"45,000,000.00",0
4D Lotto,2026-04-08,3-1-6-1,"54,670.00",14
Ultra Lotto 6/58,2026-04-07,17-31-50-43-15-10,"75,000,000.00",0
Super Lotto 6/49,2026-04-07,25-04-46-44-28-36,"171,028,544.44",1
Lotto 6/42,2026-04-07,06-37-23-02-39-31,"10,000,000.00",1
6D Lotto,2026-04-07,2-4-0-7-7-5,"336,391.96",0
Mega Lotto 6/45,2026-04-06,13-33-37-10-44-19,"15,000,000.00",0
Grand Lotto 6/55,2026-04-06,54-28-47-36-35-29,"45,000,000.00",0
4D Lotto,2026-04-06,8-4-5-5,"88,873.00",9
Ultra Lotto 6/58,2026-04-05,33-40-53-22-32-08,"75,000,000.00",0
Super Lotto 6/49,2026-04-05,39-30-18-29-44-42,"164,359,332.52",0
Mega Lotto 6/45,2026-04-01,20-11-17-16-03-37,"15,000,000.00",0
Grand Lotto 6/55,2026-04-01,32-42-17-55-50-19,"45,000,000.00",0
4D Lotto,2026-04-01,7-5-0-2,"44,532.00",20
Ultra Lotto 6/58,2026-03-31,36-07-29-26-58-09,"75,000,000.00",0
Super Lotto 6/49,2026-03-31,22-42-18-28-08-17,"157,949,154.16",0
Lotto 6/42,2026-03-31,16-22-03-30-36-04,"10,000,000.00",0
6D Lotto,2026-03-31,8-3-7-4-1-7,"5,033,295.00",1
Mega Lotto 6/45,2026-03-30,03-27-24-07-43-13,"15,000,000.00",0
Grand Lotto 6/55,2026-03-30,27-34-31-54-23-03,"45,000,000.00",0
4D Lotto,2026-03-30,3-6-7-7,"66,522.00",12
Ultra Lotto 6/58,2026-03-29,45-49-34-52-09-28,"75,000,000.00",0
Super Lotto 6/49,2026-03-29,15-09-33-18-22-06,"151,405,859.60",0
Lotto 6/42,2026-03-28,11-23-09-05-01-03,"10,000,000.00",1
Grand Lotto 6/55,2026-03-28,01-18-51-19-21-05,"45,000,000.00",0
6D Lotto,2026-03-28,5-5-8-0-2-2,"4,614,173.28",0
Ultra Lotto 6/58,2026-03-27,12-57-16-01-42-51,"75,000,000.00",0
Mega Lotto 6/45,2026-03-27,19-38-36-31-27-02,"15,000,000.00",0
4D Lotto,2026-03-27,9-5-7-6,"70,061.00",13
Super Lotto 6/49,2026-03-26,46-04-19-25-33-02,"144,085,930.99",0
Lotto 6/42,2026-03-26,29-15-03-18-23-30,"10,000,000.00",0
6D Lotto,2026-03-26,1-7-8-9-4-7,"3,954,081.52",0
Mega Lotto 6/45,2026-03-25,17-24-15-29-10-05,"15,000,000.00",1
Grand Lotto 6/55,2026-03-25,29-25-44-39-13-05,"45,000,000.00",0
4D Lotto,2026-03-25,0-3-0-2,"23,598.00",37
Ultra Lotto 6/58,2026-03-24,16-20-12-18-48-50,"75,000,000.00",0
Super Lotto 6/49,2026-03-24,31-16-32-19-45-26,"137,337,665.06",0
Lotto 6/42,2026-03-24,13-41-27-29-42-08,"10,000,000.00",0
6D Lotto,2026-03-24,8-7-4-4-4-6,"3,333,865.80",0
Mega Lotto 6/45,2026-03-23,24-43-28-08-04-27,"15,000,000.00",0
Grand Lotto 6/55,2026-03-23,43-33-10-26-42-14,"45,000,000.00",0
4D Lotto,2026-03-23,4-1-4-4,"19,676.00",34
Ultra Lotto 6/58,2026-03-22,14-08-22-50-58-19,"75,000,000.00",0
Super Lotto 6/49,2026-03-22,31-16-45-10-47-32,"131,201,705.31",0
Lotto 6/42,2026-03-21,18-12-37-02-30-24,"10,000,000.00",1
Grand Lotto 6/55,2026-03-21,02-18-47-12-32-11,"45,000,000.00",0
6D Lotto,2026-03-21,3-8-0-0-4-6,"2,677,569.24",0
Ultra Lotto 6/58,2026-03-20,47-19-23-34-20-37,"75,000,000.00",0
Mega Lotto 6/45,2026-03-20,31-28-19-25-04-03,"15,000,000.00",0
4D Lotto,2026-03-20,0-5-8-0,"89,382.00",10
Super Lotto 6/49,2026-03-19,21-20-32-04-43-13,"124,187,419.45",0
Lotto 6/42,2026-03-19,25-29-17-41-23-13,"18,861,406.90",1
6D Lotto,2026-03-19,8-7-0-5-6-8,"1,909,936.60",0
Mega Lotto 6/45,2026-03-18,10-34-01-12-45-41,"15,000,000.00",0
Grand Lotto 6/55,2026-03-18,05-06-15-53-17-55,"45,000,000.00",0
4D Lotto,2026-03-18,5-5-6-4,"65,244.00",13
Ultra Lotto 6/58,2026-03-17,29-52-49-55-25-09,"100,331,631.91",1
Super Lotto 6/49,2026-03-17,33-09-22-37-44-25,"117,854,307.91",0
Lotto 6/42,2026-03-17,17-36-05-07-08-38,"15,639,575.61",0
6D Lotto,2026-03-17,1-8-3-4-2-1,"1,255,019.68",0
Mega Lotto 6/45,2026-03-16,45-34-06-14-24-08,"20,803,484.37",1
Grand Lotto 6/55,2026-03-16,42-27-16-54-50-20,"45,000,000.00",0
4D Lotto,2026-03-16,5-4-8-4,"29,796.00",32
Ultra Lotto 6/58,2026-03-15,51-54-37-36-42-57,"96,526,694.36",0
Super Lotto 6/49,2026-03-15,23-09-25-32-22-24,"112,171,638.12",0
Lotto 6/42,2026-03-14,26-13-35-11-18-32,"12,747,984.35",0
Grand Lotto 6/55,2026-03-14,24-33-48-42-05-22,"45,000,000.00",0
6D Lotto,2026-03-14,6-8-2-6-2-7,"967,754.60",0
Ultra Lotto 6/58,2026-03-13,06-17-12-58-15-11,"92,255,713.46",0
Mega Lotto 6/45,2026-03-13,32-05-14-42-41-37,"17,127,699.35",0
4D Lotto,2026-03-13,9-6-1-5,"26,172.00",24
Super Lotto 6/49,2026-03-12,38-34-03-01-10-41,"105,623,506.83",0
Lotto 6/42,2026-03-12,35-02-40-36-13-16,"10,000,000.00",0
6D Lotto,2026-03-12,0-1-7-7-9-1,"917,754.60",0
Mega Lotto 6/45,2026-03-11,19-36-10-23-31-20,"15,000,000.00",0
Grand Lotto 6/55,2026-03-11,50-24-34-21-45-03,"45,000,000.00",0
4D Lotto,2026-03-11,2-9-7-0,"51,042.00",15
Ultra Lotto 6/58,2026-03-10,42-58-35-02-51-26,"87,396,535.70",0
Super Lotto 6/49,2026-03-10,42-46-32-19-44-16,"99,658,844.67",0
Lotto 6/42,2026-03-10,03-29-12-33-10-16,"10,000,000.00",0
6D Lotto,2026-03-10,3-6-8-4-5-4,"486,906.28",0
Mega Lotto 6/45,2026-03-09,23-24-03-38-04-21,"15,000,000.00",0
Grand Lotto 6/55,2026-03-09,38-32-08-20-19-09,"45,000,000.00",1
4D Lotto,2026-03-09,2-8-8-3,"64,658.00",15
Ultra Lotto 6/58,2026-03-08,44-07-09-28-06-17,"83,702,401.48",0
Super Lotto 6/49,2026-03-08,32-14-13-07-15-26,"94,530,914.78",0
Lotto 6/42,2026-03-07,40-33-31-16-12-14,"10,000,000.00",0
Grand Lotto 6/55,2026-03-07,17-44-02-05-28-45,"45,000,000.00",0
6D Lotto,2026-03-07,2-7-0-8-8-2,"311,276.92",0
Ultra Lotto 6/58,2026-03-06,37-34-13-26-06-54,"79,557,596.52",0
Mega Lotto 6/45,2026-03-06,33-37-02-27-04-31,"15,000,000.00",0
4D Lotto,2026-03-06,1-0-3-0,"10,000.00",303
Super Lotto 6/49,2026-03-05,23-37-48-44-39-25,"88,820,774.31",0
Lotto 6/42,2026-03-05,33-32-18-01-10-04,"39,385,042.44",1
6D Lotto,2026-03-05,7-2-0-8-2-6,"874,721.00",2
Mega Lotto 6/45,2026-03-04,08-28-18-06-35-42,"15,000,000.00",0
Grand Lotto 6/55,2026-03-04,33-13-44-50-47-42,"45,000,000.00",0
4D Lotto,2026-03-04,2-3-5-4,"18,399.00",45
Ultra Lotto 6/58,2026-03-03,30-40-01-24-04-21,"75,000,000.00",0
Super Lotto 6/49,2026-03-03,02-44-13-29-08-41,"83,669,465.41",0
Lotto 6/42,2026-03-03,20-27-42-16-37-41,"35,411,962.61",0
6D Lotto,2026-03-03,7-8-4-4-7-2,"1,699,442.24",0
